edad,peso,talla,sexo,provincia,dni,fecha_nacimiento,bmi,bmi_agrupado,bmi_agrupado2,edad_dis
20,93.3,1.42,MUJER,MADRID,50564330W,17/4/2000,46.27,Obesidad clase 3,Obesidad,"(14, 20]"
44,71.2,1.72,HOMBRE,CUENCA,49980374E,26/8/1976,24.07,Normal,Normal,"(20, 50]"
24,139.7,1.39,HOMBRE,MADRID,87341057M,6/2/1996,72.3,Obesidad clase 3,Obesidad,"(20, 50]"
92,62.6,1.62,MUJER,MURCIA,20629715E,13/12/1928,23.85,Normal,Normal,"(50, 96]"
75,49.7,1.91,MUJER,MURCIA,27286142W,2/7/1945,13.62,Infrapeso,Infrapeso,"(50, 96]"
95,95.5,1.34,HOMBRE,CUENCA,18385116G,8/3/1925,53.19,Obesidad clase 3,Obesidad,"(50, 96]"
59,85.8,1.79,HOMBRE,SEVILLA,41280101N,16/3/1961,26.78,Sobrepeso,Sobrepeso,"(50, 96]"
71,109.5,1.61,HOMBRE,MÁLAGA,40708600V,16/5/1949,42.24,Obesidad clase 3,Obesidad,"(50, 96]"
26,61.3,1.67,HOMBRE,SEVILLA,76784079N,16/8/1994,21.98,Normal,Normal,"(20, 50]"
91,141.6,1.99,HOMBRE,SEVILLA,92378636O,15/2/1929,35.76,Obesidad clase 2,Obesidad,"(50, 96]"
19,67.0,1.95,HOMBRE,MADRID,84898926V,25/8/2001,17.62,Infrapeso,Infrapeso,"(14, 20]"
77,64.7,1.81,HOMBRE,BARCELONA,23129105D,25/3/1943,19.75,Normal,Normal,"(50, 96]"
35,104.5,1.51,HOMBRE,MADRID,57501324L,2/4/1985,45.83,Obesidad clase 3,Obesidad,"(20, 50]"
93,85.6,1.54,HOMBRE,CUENCA,67358370Y,27/9/1927,36.09,Obesidad clase 2,Obesidad,"(50, 96]"
55,41.9,1.89,HOMBRE,GRANADA,42819078U,14/8/1965,11.73,Infrapeso,Infrapeso,"(50, 96]"
94,48.6,1.49,MUJER,GRANADA,47003503L,7/10/1926,21.89,Normal,Normal,"(50, 96]"
35,112.1,1.36,MUJER,MURCIA,75712172J,11/4/1985,60.61,Obesidad clase 3,Obesidad,"(20, 50]"
39,101.0,1.89,MUJER,SEVILLA,18821714S,3/3/1981,28.27,Sobrepeso,Sobrepeso,"(20, 50]"
87,52.5,1.33,MUJER,MÁLAGA,91697144C,17/6/1933,29.68,Sobrepeso,Sobrepeso,"(50, 96]"
27,146.0,1.45,MUJER,CUENCA,17272102K,4/12/1993,69.44,Obesidad clase 3,Obesidad,"(20, 50]"
70,110.7,1.75,MUJER,MÁLAGA,58421981P,28/1/1950,36.15,Obesidad clase 2,Obesidad,"(50, 96]"
27,70.4,1.55,HOMBRE,MADRID,18136241E,28/7/1993,29.3,Sobrepeso,Sobrepeso,"(20, 50]"
71,49.3,1.78,MUJER,MADRID,22490211O,15/10/1949,15.56,Infrapeso,Infrapeso,"(50, 96]"
82,67.1,1.48,MUJER,SEVILLA,14406290Y,22/7/1938,30.63,Obesidad clase 1,Obesidad,"(50, 96]"
61,82.4,1.82,MUJER,SEVILLA,16003605O,7/7/1959,24.88,Normal,Normal,"(50, 96]"
62,85.8,1.57,HOMBRE,BARCELONA,70290498N,22/8/1958,34.81,Obesidad clase 1,Obesidad,"(50, 96]"
33,97.1,1.97,HOMBRE,BARCELONA,37381578M,21/6/1987,25.02,Sobrepeso,Sobrepeso,"(20, 50]"
60,51.6,1.47,HOMBRE,MURCIA,47092268L,19/8/1960,23.88,Normal,Normal,"(50, 96]"
66,139.3,1.46,MUJER,GRANADA,44781830J,21/10/1954,65.35,Obesidad clase 3,Obesidad,"(50, 96]"
58,65.8,1.87,HOMBRE,BARCELONA,27716333N,21/5/1962,18.82,Normal,Normal,"(50, 96]"
69,75.5,1.35,MUJER,BARCELONA,76346113U,26/7/1951,41.43,Obesidad clase 3,Obesidad,"(50, 96]"
87,124.3,1.83,MUJER,MÁLAGA,19292902P,12/2/1933,37.12,Obesidad clase 2,Obesidad,"(50, 96]"
21,142.7,1.92,MUJER,SEVILLA,77605795B,4/2/1999,38.71,Obesidad clase 2,Obesidad,"(20, 50]"
85,146.2,1.44,HOMBRE,MURCIA,12682128K,7/2/1935,70.51,Obesidad clase 3,Obesidad,"(50, 96]"
85,92.1,1.62,HOMBRE,MURCIA,55006639G,21/5/1935,35.09,Obesidad clase 2,Obesidad,"(50, 96]"
28,82.1,1.83,MUJER,MURCIA,41076979O,13/2/1992,24.52,Normal,Normal,"(20, 50]"
19,55.3,1.72,MUJER,GRANADA,83534936E,24/9/2001,18.69,Normal,Normal,"(14, 20]"
15,73.5,1.85,HOMBRE,BARCELONA,61352545K,9/7/2005,21.48,Normal,Normal,"(14, 20]"
55,143.6,1.42,HOMBRE,BARCELONA,26778302Y,18/5/1965,71.22,Obesidad clase 3,Obesidad,"(50, 96]"
26,91.3,1.33,MUJER,SEVILLA,40498745P,17/3/1994,51.61,Obesidad clase 3,Obesidad,"(20, 50]"
89,118.2,1.91,MUJER,MURCIA,16409245C,6/11/1931,32.4,Obesidad clase 1,Obesidad,"(50, 96]"
55,130.6,1.68,MUJER,MADRID,71295706J,18/3/1965,46.27,Obesidad clase 3,Obesidad,"(50, 96]"
20,45.1,1.54,HOMBRE,SEVILLA,37290952L,20/9/2000,19.02,Normal,Normal,"(14, 20]"
45,71.8,1.82,HOMBRE,CUENCA,93863575Q,13/10/1975,21.68,Normal,Normal,"(20, 50]"
61,115.2,1.95,MUJER,CUENCA,50596905O,7/5/1959,30.3,Obesidad clase 1,Obesidad,"(50, 96]"
65,130.0,1.56,HOMBRE,SEVILLA,64020341E,24/10/1955,53.42,Obesidad clase 3,Obesidad,"(50, 96]"
81,112.2,1.46,MUJER,GRANADA,15101109F,23/5/1939,52.64,Obesidad clase 3,Obesidad,"(50, 96]"
22,41.9,1.62,MUJER,MADRID,53369165B,26/4/1998,15.97,Infrapeso,Infrapeso,"(20, 50]"
93,61.6,1.9,MUJER,MURCIA,87605910P,11/3/1927,17.06,Infrapeso,Infrapeso,"(50, 96]"
43,138.6,1.64,HOMBRE,SEVILLA,21832893U,2/12/1977,51.53,Obesidad clase 3,Obesidad,"(20, 50]"
25,54.6,1.46,MUJER,SEVILLA,70882157X,11/5/1995,25.61,Sobrepeso,Sobrepeso,"(20, 50]"
17,119.6,1.84,MUJER,SEVILLA,99184444H,30/7/2003,35.33,Obesidad clase 2,Obesidad,"(14, 20]"
84,96.0,1.71,MUJER,CUENCA,33531661V,29/1/1936,32.83,Obesidad clase 1,Obesidad,"(50, 96]"
65,107.4,1.93,MUJER,SEVILLA,47763814V,18/2/1955,28.83,Sobrepeso,Sobrepeso,"(50, 96]"
48,44.7,1.95,MUJER,GRANADA,51158867N,5/3/1972,11.76,Infrapeso,Infrapeso,"(20, 50]"
76,127.4,1.97,HOMBRE,MADRID,95615178C,24/12/1944,32.83,Obesidad clase 1,Obesidad,"(50, 96]"
52,31.4,1.62,HOMBRE,SEVILLA,42771692U,26/10/1968,11.96,Infrapeso,Infrapeso,"(50, 96]"
92,114.3,1.73,HOMBRE,GRANADA,25021374X,3/10/1928,38.19,Obesidad clase 2,Obesidad,"(50, 96]"
56,135.5,1.88,MUJER,GRANADA,58209223A,12/9/1964,38.34,Obesidad clase 2,Obesidad,"(50, 96]"
25,129.3,1.99,HOMBRE,MURCIA,11583667S,27/8/1995,32.65,Obesidad clase 1,Obesidad,"(20, 50]"
25,74.0,1.86,MUJER,MADRID,44915316Y,19/8/1995,21.39,Normal,Normal,"(20, 50]"
92,119.3,1.99,MUJER,GRANADA,71889717Q,10/4/1928,30.13,Obesidad clase 1,Obesidad,"(50, 96]"
40,52.1,1.79,MUJER,SEVILLA,31736969G,9/8/1980,16.26,Infrapeso,Infrapeso,"(20, 50]"
35,128.6,1.51,HOMBRE,MURCIA,85422227E,24/5/1985,56.4,Obesidad clase 3,Obesidad,"(20, 50]"
89,69.4,1.85,HOMBRE,GRANADA,57809976N,3/1/1931,20.28,Normal,Normal,"(50, 96]"
52,125.0,1.82,HOMBRE,SEVILLA,20189857C,9/8/1968,37.74,Obesidad clase 2,Obesidad,"(50, 96]"
14,49.7,1.54,MUJER,MÁLAGA,32515338D,28/4/2006,20.96,Normal,Normal,
76,132.5,1.44,MUJER,GRANADA,20217920F,16/2/1944,63.9,Obesidad clase 3,Obesidad,"(50, 96]"
85,120.8,1.89,MUJER,MADRID,82371390J,11/10/1935,33.82,Obesidad clase 1,Obesidad,"(50, 96]"
32,122.3,1.62,MUJER,GRANADA,13031880Q,23/9/1988,46.6,Obesidad clase 3,Obesidad,"(20, 50]"
45,55.6,1.78,HOMBRE,MÁLAGA,39168416H,24/4/1975,17.55,Infrapeso,Infrapeso,"(20, 50]"
94,86.6,1.96,HOMBRE,MADRID,41646559V,15/2/1926,22.54,Normal,Normal,"(50, 96]"
62,63.2,1.87,HOMBRE,CUENCA,54623383G,18/3/1958,18.07,Infrapeso,Infrapeso,"(50, 96]"
34,57.1,1.99,HOMBRE,SEVILLA,90674944W,23/4/1986,14.42,Infrapeso,Infrapeso,"(20, 50]"
89,38.4,1.69,MUJER,MADRID,65697035Y,24/11/1931,13.44,Infrapeso,Infrapeso,"(50, 96]"
66,61.8,1.47,HOMBRE,MURCIA,95783040G,21/11/1954,28.6,Sobrepeso,Sobrepeso,"(50, 96]"
57,124.9,1.55,MUJER,MÁLAGA,39273989U,20/11/1963,51.99,Obesidad clase 3,Obesidad,"(50, 96]"
69,137.3,1.9,HOMBRE,BARCELONA,46290672V,17/4/1951,38.03,Obesidad clase 2,Obesidad,"(50, 96]"
29,120.4,1.7,MUJER,MÁLAGA,47927522T,6/2/1991,41.66,Obesidad clase 3,Obesidad,"(20, 50]"
62,145.5,1.49,HOMBRE,MADRID,61759314A,19/7/1958,65.54,Obesidad clase 3,Obesidad,"(50, 96]"
88,147.5,1.93,MUJER,GRANADA,73280660B,16/8/1932,39.6,Obesidad clase 2,Obesidad,"(50, 96]"
26,105.5,1.49,MUJER,MÁLAGA,84577919Q,4/5/1994,47.52,Obesidad clase 3,Obesidad,"(20, 50]"
84,64.2,1.63,MUJER,GRANADA,35473901D,21/9/1936,24.16,Normal,Normal,"(50, 96]"
74,118.6,1.52,MUJER,SEVILLA,52782040G,28/1/1946,51.33,Obesidad clase 3,Obesidad,"(50, 96]"
57,141.8,1.95,MUJER,BARCELONA,84419578Z,28/11/1963,37.29,Obesidad clase 2,Obesidad,"(50, 96]"
51,77.3,1.36,MUJER,MÁLAGA,35465002I,22/9/1969,41.79,Obesidad clase 3,Obesidad,"(50, 96]"
72,134.1,1.69,MUJER,GRANADA,45865923D,18/3/1948,46.95,Obesidad clase 3,Obesidad,"(50, 96]"
20,47.9,1.5,MUJER,MADRID,96149355D,20/7/2000,21.29,Normal,Normal,"(14, 20]"
74,86.4,1.73,HOMBRE,GRANADA,23154870Z,10/5/1946,28.87,Sobrepeso,Sobrepeso,"(50, 96]"
85,110.0,1.55,MUJER,CUENCA,56395342O,8/11/1935,45.79,Obesidad clase 3,Obesidad,"(50, 96]"
69,122.0,1.76,MUJER,BARCELONA,44842478T,25/7/1951,39.39,Obesidad clase 2,Obesidad,"(50, 96]"
49,120.8,1.47,HOMBRE,MÁLAGA,81348169R,19/2/1971,55.9,Obesidad clase 3,Obesidad,"(20, 50]"
42,50.7,1.94,HOMBRE,MÁLAGA,69959360M,26/2/1978,13.47,Infrapeso,Infrapeso,"(20, 50]"
18,136.1,1.41,MUJER,MÁLAGA,62406507M,9/1/2002,68.46,Obesidad clase 3,Obesidad,"(14, 20]"
90,140.3,1.94,MUJER,SEVILLA,98400890X,28/10/1930,37.28,Obesidad clase 2,Obesidad,"(50, 96]"
47,58.5,1.34,HOMBRE,MADRID,16376217F,26/9/1973,32.58,Obesidad clase 1,Obesidad,"(20, 50]"
62,60.8,1.85,HOMBRE,CUENCA,97654006I,4/9/1958,17.76,Infrapeso,Infrapeso,"(50, 96]"
34,128.2,1.33,MUJER,CUENCA,26483554P,1/12/1986,72.47,Obesidad clase 3,Obesidad,"(20, 50]"
86,42.4,1.57,HOMBRE,SEVILLA,19187606D,25/10/1934,17.2,Infrapeso,Infrapeso,"(50, 96]"
78,54.5,1.65,MUJER,BARCELONA,80969868N,9/1/1942,20.02,Normal,Normal,"(50, 96]"
39,31.6,1.37,MUJER,MURCIA,97175393G,28/4/1981,16.84,Infrapeso,Infrapeso,"(20, 50]"
70,95.7,1.98,MUJER,MADRID,58710806B,22/8/1950,24.41,Normal,Normal,"(50, 96]"
41,52.4,1.79,HOMBRE,SEVILLA,38331507A,22/11/1979,16.35,Infrapeso,Infrapeso,"(20, 50]"
65,39.2,1.39,HOMBRE,SEVILLA,94093117Z,20/12/1955,20.29,Normal,Normal,"(50, 96]"
50,112.7,1.69,HOMBRE,SEVILLA,86961174H,6/3/1970,39.46,Obesidad clase 2,Obesidad,"(20, 50]"
19,107.5,1.75,MUJER,BARCELONA,66165295U,16/3/2001,35.1,Obesidad clase 2,Obesidad,"(14, 20]"
71,104.8,1.79,MUJER,MÁLAGA,72582048U,5/3/1949,32.71,Obesidad clase 1,Obesidad,"(50, 96]"
22,76.6,1.71,HOMBRE,MADRID,18801690P,10/8/1998,26.2,Sobrepeso,Sobrepeso,"(20, 50]"
52,137.4,1.76,HOMBRE,MURCIA,71604849R,12/1/1968,44.36,Obesidad clase 3,Obesidad,"(50, 96]"
31,79.1,1.43,HOMBRE,GRANADA,79715079H,2/10/1989,38.68,Obesidad clase 2,Obesidad,"(20, 50]"
17,85.6,1.99,MUJER,MADRID,96659686X,9/4/2003,21.62,Normal,Normal,"(14, 20]"
41,143.8,1.74,HOMBRE,MÁLAGA,62464510G,16/2/1979,47.5,Obesidad clase 3,Obesidad,"(20, 50]"
89,77.3,1.91,HOMBRE,GRANADA,49351743D,11/5/1931,21.19,Normal,Normal,"(50, 96]"
72,97.7,1.8,MUJER,MÁLAGA,60341939L,14/10/1948,30.15,Obesidad clase 1,Obesidad,"(50, 96]"
72,60.5,1.88,MUJER,MURCIA,19478584T,28/6/1948,17.12,Infrapeso,Infrapeso,"(50, 96]"
27,65.0,1.34,HOMBRE,MURCIA,49128143W,27/3/1993,36.2,Obesidad clase 2,Obesidad,"(20, 50]"
17,35.3,1.65,MUJER,CUENCA,62881002E,31/8/2003,12.97,Infrapeso,Infrapeso,"(14, 20]"
58,75.2,1.6,HOMBRE,GRANADA,51621341J,12/4/1962,29.37,Sobrepeso,Sobrepeso,"(50, 96]"
40,70.1,1.59,HOMBRE,CUENCA,37056448W,9/5/1980,27.73,Sobrepeso,Sobrepeso,"(20, 50]"
80,71.9,1.73,HOMBRE,BARCELONA,42260040O,26/1/1940,24.02,Normal,Normal,"(50, 96]"
30,116.2,1.84,HOMBRE,MURCIA,72845808J,3/9/1990,34.32,Obesidad clase 1,Obesidad,"(20, 50]"
73,46.3,1.6,HOMBRE,MURCIA,43426797Q,15/1/1947,18.09,Infrapeso,Infrapeso,"(50, 96]"
46,133.3,1.89,MUJER,SEVILLA,68581406Q,14/8/1974,37.32,Obesidad clase 2,Obesidad,"(20, 50]"
50,59.5,1.66,HOMBRE,SEVILLA,69899582L,1/8/1970,21.59,Normal,Normal,"(20, 50]"
55,59.3,1.92,MUJER,CUENCA,94084985A,31/5/1965,16.09,Infrapeso,Infrapeso,"(50, 96]"
65,113.8,1.37,MUJER,MÁLAGA,79737920T,23/5/1955,60.63,Obesidad clase 3,Obesidad,"(50, 96]"
36,98.9,1.42,HOMBRE,MADRID,47953184B,6/11/1984,49.05,Obesidad clase 3,Obesidad,"(20, 50]"
88,96.5,1.47,MUJER,MÁLAGA,67424121N,21/2/1932,44.66,Obesidad clase 3,Obesidad,"(50, 96]"
18,63.1,1.85,HOMBRE,BARCELONA,72172188M,29/10/2002,18.44,Infrapeso,Infrapeso,"(14, 20]"
16,50.0,1.83,HOMBRE,BARCELONA,70959651V,29/3/2004,14.93,Infrapeso,Infrapeso,"(14, 20]"
71,89.7,1.34,HOMBRE,GRANADA,39661465L,31/1/1949,49.96,Obesidad clase 3,Obesidad,"(50, 96]"
53,79.0,1.44,HOMBRE,MADRID,36873034V,16/10/1967,38.1,Obesidad clase 2,Obesidad,"(50, 96]"
73,69.0,1.44,MUJER,MURCIA,86415157V,3/9/1947,33.28,Obesidad clase 1,Obesidad,"(50, 96]"
75,39.9,1.61,MUJER,BARCELONA,63963866T,14/10/1945,15.39,Infrapeso,Infrapeso,"(50, 96]"
22,122.8,1.69,HOMBRE,MADRID,30418322Y,8/12/1998,43.0,Obesidad clase 3,Obesidad,"(20, 50]"
28,116.1,1.35,HOMBRE,GRANADA,66533771H,4/12/1992,63.7,Obesidad clase 3,Obesidad,"(20, 50]"
16,68.2,1.86,HOMBRE,GRANADA,34226027H,23/5/2004,19.71,Normal,Normal,"(14, 20]"
80,142.1,1.84,MUJER,GRANADA,37909028J,26/3/1940,41.97,Obesidad clase 3,Obesidad,"(50, 96]"
90,82.4,1.57,MUJER,SEVILLA,15915284S,27/1/1930,33.43,Obesidad clase 1,Obesidad,"(50, 96]"
16,42.5,1.64,HOMBRE,GRANADA,67452161F,2/2/2004,15.8,Infrapeso,Infrapeso,"(14, 20]"
35,62.0,1.67,HOMBRE,MURCIA,62109037G,9/7/1985,22.23,Normal,Normal,"(20, 50]"
16,75.0,1.4,MUJER,MADRID,82248132K,12/6/2004,38.27,Obesidad clase 2,Obesidad,"(14, 20]"
64,148.9,1.77,HOMBRE,CUENCA,23910478T,29/8/1956,47.53,Obesidad clase 3,Obesidad,"(50, 96]"
16,144.8,1.77,MUJER,MURCIA,33638564F,22/9/2004,46.22,Obesidad clase 3,Obesidad,"(14, 20]"
94,137.1,1.44,HOMBRE,SEVILLA,73751874W,7/7/1926,66.12,Obesidad clase 3,Obesidad,"(50, 96]"
24,58.1,1.62,HOMBRE,GRANADA,46625220Q,20/2/1996,22.14,Normal,Normal,"(20, 50]"
36,53.8,1.64,HOMBRE,MADRID,77026623I,27/4/1984,20.0,Normal,Normal,"(20, 50]"
75,115.8,1.42,HOMBRE,CUENCA,77440264J,28/2/1945,57.43,Obesidad clase 3,Obesidad,"(50, 96]"
42,105.4,1.87,MUJER,MADRID,89760100S,9/1/1978,30.14,Obesidad clase 1,Obesidad,"(20, 50]"
21,57.8,1.99,MUJER,GRANADA,30720289F,3/3/1999,14.6,Infrapeso,Infrapeso,"(20, 50]"
52,40.0,1.74,MUJER,MURCIA,80520650V,4/4/1968,13.21,Infrapeso,Infrapeso,"(50, 96]"
78,107.2,1.35,MUJER,BARCELONA,18554194B,29/12/1942,58.82,Obesidad clase 3,Obesidad,"(50, 96]"
91,99.3,1.78,MUJER,GRANADA,55865244U,30/1/1929,31.34,Obesidad clase 1,Obesidad,"(50, 96]"
59,146.4,1.36,HOMBRE,MURCIA,88781586V,19/12/1961,79.15,Obesidad clase 3,Obesidad,"(50, 96]"
36,144.3,1.86,HOMBRE,MURCIA,28621203B,8/11/1984,41.71,Obesidad clase 3,Obesidad,"(20, 50]"
77,113.0,1.88,MUJER,MADRID,15495349W,15/12/1943,31.97,Obesidad clase 1,Obesidad,"(50, 96]"
30,142.4,1.83,MUJER,CUENCA,60645492B,19/6/1990,42.52,Obesidad clase 3,Obesidad,"(20, 50]"
32,90.5,1.57,HOMBRE,MÁLAGA,68631132E,10/7/1988,36.72,Obesidad clase 2,Obesidad,"(20, 50]"
31,31.8,1.6,MUJER,SEVILLA,75510682S,25/11/1989,12.42,Infrapeso,Infrapeso,"(20, 50]"
51,117.9,1.9,MUJER,CUENCA,76908837A,28/3/1969,32.66,Obesidad clase 1,Obesidad,"(50, 96]"
67,116.4,1.85,HOMBRE,SEVILLA,70693909K,1/8/1953,34.01,Obesidad clase 1,Obesidad,"(50, 96]"
78,35.8,1.92,HOMBRE,MURCIA,13052121A,22/2/1942,9.71,Infrapeso,Infrapeso,"(50, 96]"
31,31.6,1.84,HOMBRE,GRANADA,46408105V,18/5/1989,9.33,Infrapeso,Infrapeso,"(20, 50]"
54,110.7,1.57,HOMBRE,MÁLAGA,65910222T,1/5/1966,44.91,Obesidad clase 3,Obesidad,"(50, 96]"
15,109.0,1.61,HOMBRE,SEVILLA,58787085A,14/5/2005,42.05,Obesidad clase 3,Obesidad,"(14, 20]"
19,36.3,1.51,MUJER,CUENCA,56934327I,31/12/2001,15.92,Infrapeso,Infrapeso,"(14, 20]"
26,139.8,1.96,MUJER,MURCIA,44581835Y,23/12/1994,36.39,Obesidad clase 2,Obesidad,"(20, 50]"
22,102.4,1.95,HOMBRE,MADRID,33996761C,15/9/1998,26.93,Sobrepeso,Sobrepeso,"(20, 50]"
36,59.8,1.63,MUJER,BARCELONA,44391235V,20/7/1984,22.51,Normal,Normal,"(20, 50]"
82,142.0,1.51,MUJER,CUENCA,99301450P,6/2/1938,62.28,Obesidad clase 3,Obesidad,"(50, 96]"
37,109.1,1.41,MUJER,MADRID,79096624O,28/7/1983,54.88,Obesidad clase 3,Obesidad,"(20, 50]"
31,127.0,1.84,HOMBRE,MADRID,95758642L,4/4/1989,37.51,Obesidad clase 2,Obesidad,"(20, 50]"
46,75.3,1.85,HOMBRE,MADRID,74939946E,2/3/1974,22.0,Normal,Normal,"(20, 50]"
68,118.7,1.59,HOMBRE,MADRID,71226418G,17/3/1952,46.95,Obesidad clase 3,Obesidad,"(50, 96]"
