edad,peso,talla,sexo,provincia,dni,fecha_nacimiento,bmi,bmi_agrupado,bmi_agrupado2
15,58.5,1.73,HOMBRE,ALICANTE,81341675F,24/7/2005,19.55,Normal,Normal
21,65.0,1.73,HOMBRE,ALICANTE,62444995L,6/5/1999,21.72,Normal,Normal
18,61.2,1.66,HOMBRE,ALICANTE,38910039G,25/12/2002,22.21,Normal,Normal
17,58.1,1.685,HOMBRE,ALICANTE,28473918N,21/5/2003,20.46,Normal,Normal
21,65.2,1.76,HOMBRE,ALICANTE,54542747L,24/3/1999,21.05,Normal,Normal
21,65.0,1.73,HOMBRE,ALICANTE,38437622U,12/3/1999,21.72,Normal,Normal
16,76.3,1.9,HOMBRE,ALICANTE,55144005J,22/6/2004,21.14,Normal,Normal
21,65.8,1.78,HOMBRE,ALICANTE,73181745Z,9/12/1999,20.77,Normal,Normal
18,79.7,1.89,HOMBRE,ALICANTE,65408338I,12/6/2002,22.31,Normal,Normal
20,68.0,1.755,HOMBRE,ALICANTE,54156224B,17/2/2000,22.08,Normal,Normal
18,62.8,1.75,HOMBRE,ALICANTE,22418391Q,22/3/2002,20.51,Normal,Normal
20,76.8,1.89,HOMBRE,ALICANTE,24265112T,9/8/2000,21.5,Normal,Normal
21,71.0,1.765,HOMBRE,ALICANTE,56475362Y,31/12/1999,22.79,Normal,Normal
20,63.0,1.72,HOMBRE,ALICANTE,60727115K,25/4/2000,21.3,Normal,Normal
18,61.4,1.68,HOMBRE,ALICANTE,56947779M,2/5/2002,21.75,Normal,Normal
15,62.3,1.67,HOMBRE,ALICANTE,55229899W,17/4/2005,22.34,Normal,Normal
15,66.0,1.715,HOMBRE,ALICANTE,16577599B,3/10/2005,22.44,Normal,Normal
24,68.0,1.7,HOMBRE,ALICANTE,13356574S,8/2/1996,23.53,Normal,Normal
22,74.0,1.74,HOMBRE,ALICANTE,70003667T,15/5/1998,24.44,Normal,Normal
20,65.3,1.695,HOMBRE,ALICANTE,77304657T,19/4/2000,22.73,Normal,Normal
15,75.8,1.75,HOMBRE,ALICANTE,14000779J,10/1/2005,24.75,Normal,Normal
22,70.3,1.7,HOMBRE,ALICANTE,31566102C,18/12/1998,24.33,Normal,Normal
17,73.3,1.74,HOMBRE,ALICANTE,35474279B,7/8/2003,24.21,Normal,Normal
23,89.1,1.8,HOMBRE,ALICANTE,23148490B,21/4/1997,27.5,Sobrepeso,Sobrepeso
16,70.7,1.62,HOMBRE,ALICANTE,83746707D,17/9/2004,26.94,Sobrepeso,Sobrepeso
24,85.7,1.75,HOMBRE,ALICANTE,54800429E,14/11/1996,27.98,Sobrepeso,Sobrepeso
24,64.4,1.61,MUJER,ALICANTE,74942572D,30/11/1996,24.84,Normal,Normal
16,57.2,1.5619999999999998,MUJER,ALICANTE,72408699U,23/5/2004,23.44,Normal,Normal
22,75.2,1.65,MUJER,ALICANTE,87740778M,11/8/1998,27.62,Sobrepeso,Sobrepeso
21,,,MUJER,ALICANTE,65064762F,22/8/1999,,Obesidad clase 3,Obesidad
23,65.0,1.545,MUJER,ALICANTE,71764494N,8/6/1997,27.23,Sobrepeso,Sobrepeso
24,43.3,1.545,MUJER,ALICANTE,77519392S,1/3/1996,18.14,Infrapeso,Infrapeso
22,54.7,1.55,MUJER,ALICANTE,49432054F,25/4/1998,22.77,Normal,Normal
23,42.8,1.515,MUJER,ALICANTE,84347965H,1/5/1997,18.65,Normal,Normal
18,52.4,1.64,MUJER,ALICANTE,38609410S,11/7/2002,19.48,Normal,Normal
18,47.7,1.62,MUJER,ALICANTE,75372042Q,22/9/2002,18.18,Infrapeso,Infrapeso
15,49.0,1.663,MUJER,ALICANTE,52996655S,16/2/2005,17.72,Infrapeso,Infrapeso
17,47.8,1.6,MUJER,ALICANTE,16148129X,19/5/2003,18.67,Normal,Normal
19,45.2,1.55,MUJER,ALICANTE,87354255G,12/11/2001,18.81,Normal,Normal
20,52.3,1.68,MUJER,ALICANTE,61843737C,30/12/2000,18.53,Normal,Normal
17,59.6,1.72,MUJER,ALICANTE,14687931W,6/11/2003,20.15,Normal,Normal
18,53.3,1.615,MUJER,ALICANTE,18424320P,22/12/2002,20.44,Normal,Normal
17,49.0,1.585,MUJER,ALICANTE,18853790Z,24/12/2003,19.5,Normal,Normal
22,46.5,1.56,MUJER,ALICANTE,81771145H,11/8/1998,19.11,Normal,Normal
24,49.8,1.55,MUJER,ALICANTE,64377610C,29/4/1996,20.73,Normal,Normal
23,52.0,1.6030000000000002,MUJER,ALICANTE,74856678B,29/1/1997,20.24,Normal,Normal
21,56.4,1.62,MUJER,ALICANTE,62230260X,9/4/1999,21.49,Normal,Normal
23,52.4,1.57,MUJER,ALICANTE,35302491R,21/7/1997,21.26,Normal,Normal
17,53.1,1.597,MUJER,ALICANTE,40370237O,22/8/2003,20.82,Normal,Normal
17,60.4,1.7,MUJER,ALICANTE,74083632L,8/8/2003,20.9,Normal,Normal
21,52.4,1.595,MUJER,ALICANTE,73396480O,8/3/1999,20.6,Normal,Normal
21,80.0,1.8030000000000002,MUJER,ALICANTE,75157307I,14/7/1999,24.61,Normal,Normal
16,62.3,1.68,MUJER,ALICANTE,68113999T,26/4/2004,22.07,Normal,Normal
17,64.5,1.6130000000000002,MUJER,ALICANTE,75629724I,9/12/2003,24.79,Normal,Normal
16,53.1,1.56,MUJER,ALICANTE,73052904D,25/10/2004,21.82,Normal,Normal
20,57.5,1.6,MUJER,ALICANTE,46425764V,8/1/2000,22.46,Normal,Normal
19,58.5,1.63,MUJER,ALICANTE,54242118G,7/11/2001,22.02,Normal,Normal
21,67.0,1.6,MUJER,ALICANTE,79323166R,8/2/1999,26.17,Sobrepeso,Sobrepeso
20,63.8,1.64,MUJER,ALICANTE,69703038V,10/5/2000,23.72,Normal,Normal
17,64.4,1.63,MUJER,ALICANTE,88256142L,5/1/2003,24.24,Normal,Normal
23,67.7,1.71,MUJER,ALICANTE,79623795T,14/3/1997,23.15,Normal,Normal
19,65.9,1.63,MUJER,ALICANTE,53082549M,25/7/2001,24.8,Normal,Normal
21,58.0,1.56,MUJER,ALICANTE,45523877U,20/6/1999,23.83,Normal,Normal
17,61.2,1.56,MUJER,ALICANTE,23277331A,13/1/2003,25.15,Sobrepeso,Sobrepeso
20,72.7,1.645,MUJER,ALICANTE,68199893K,8/8/2000,26.87,Sobrepeso,Sobrepeso
20,71.6,1.61,MUJER,ALICANTE,85679322L,3/6/2000,27.62,Sobrepeso,Sobrepeso
16,71.5,1.66,MUJER,ALICANTE,35560173P,5/11/2004,25.95,Sobrepeso,Sobrepeso
33,62.5,1.715,HOMBRE,ALICANTE,43634209Z,30/6/1987,21.25,Normal,Normal
34,70.3,1.795,HOMBRE,ALICANTE,24136271Q,14/5/1986,21.82,Normal,Normal
29,89.2,1.73,HOMBRE,ALICANTE,48186591F,1/2/1991,29.8,Sobrepeso,Sobrepeso
33,51.3,1.56,HOMBRE,ALICANTE,77476445M,19/2/1987,21.08,Normal,Normal
32,69.3,1.681,HOMBRE,ALICANTE,76273929J,1/2/1988,24.52,Normal,Normal
34,71.0,1.74,HOMBRE,ALICANTE,16964122W,28/9/1986,23.45,Normal,Normal
32,77.8,1.795,HOMBRE,ALICANTE,83145449Q,24/5/1988,24.15,Normal,Normal
32,82.2,1.84,HOMBRE,ALICANTE,58923341I,25/6/1988,24.28,Normal,Normal
34,80.6,1.745,HOMBRE,ALICANTE,33799346Q,17/2/1986,26.47,Sobrepeso,Sobrepeso
25,80.4,1.775,HOMBRE,ALICANTE,55659369S,1/6/1995,25.52,Sobrepeso,Sobrepeso
32,67.4,1.575,HOMBRE,ALICANTE,37192159C,16/1/1988,27.17,Sobrepeso,Sobrepeso
33,78.0,1.74,HOMBRE,ALICANTE,89372764V,15/8/1987,25.76,Sobrepeso,Sobrepeso
32,80.3,1.735,HOMBRE,ALICANTE,14730878V,25/1/1988,26.68,Sobrepeso,Sobrepeso
33,78.3,1.655,HOMBRE,ALICANTE,16835281R,5/8/1987,28.59,Sobrepeso,Sobrepeso
31,76.4,1.59,HOMBRE,ALICANTE,59911122W,19/11/1989,30.22,Obesidad clase 1,Obesidad
33,89.0,1.693,HOMBRE,ALICANTE,27099614A,17/6/1987,31.05,Obesidad clase 1,Obesidad
29,65.1,1.665,MUJER,ALICANTE,79494954W,1/8/1991,23.48,Normal,Normal
27,63.0,1.58,MUJER,ALICANTE,80182106V,20/10/1993,25.24,Sobrepeso,Sobrepeso
28,61.5,1.7,MUJER,ALICANTE,84176177X,14/3/1992,21.28,Normal,Normal
33,54.6,1.6469999999999998,MUJER,ALICANTE,44278414C,7/2/1987,20.13,Normal,Normal
27,51.2,1.45,MUJER,ALICANTE,86581209B,20/10/1993,24.35,Normal,Normal
30,61.4,1.61,MUJER,ALICANTE,72838169X,2/9/1990,23.69,Normal,Normal
33,81.0,1.53,MUJER,ALICANTE,67727476S,19/3/1987,34.6,Obesidad clase 1,Obesidad
34,64.4,1.565,MUJER,ALICANTE,85636375R,24/2/1986,26.29,Sobrepeso,Sobrepeso
32,60.5,1.56,MUJER,ALICANTE,83231343I,19/10/1988,24.86,Normal,Normal
29,77.2,1.65,MUJER,ALICANTE,12111111T,11/12/1991,28.36,Sobrepeso,Sobrepeso
26,52.8,1.67,MUJER,ALICANTE,82071774J,21/3/1994,18.93,Normal,Normal
27,48.0,1.625,MUJER,ALICANTE,62960359A,3/3/1993,18.18,Infrapeso,Infrapeso
25,45.6,1.565,MUJER,ALICANTE,52266556Z,28/5/1995,18.62,Normal,Normal
27,57.2,1.635,MUJER,ALICANTE,35388385J,11/11/1993,21.4,Normal,Normal
33,53.8,1.633,MUJER,ALICANTE,65708967S,1/11/1987,20.17,Normal,Normal
32,50.6,1.6,MUJER,ALICANTE,28774547M,25/6/1988,19.77,Normal,Normal
25,51.0,1.595,MUJER,ALICANTE,85335746R,30/4/1995,20.05,Normal,Normal
27,51.4,1.536,MUJER,ALICANTE,41701594H,11/5/1993,21.79,Normal,Normal
28,53.7,1.55,MUJER,ALICANTE,30578321B,24/9/1992,22.35,Normal,Normal
30,58.4,1.63,MUJER,ALICANTE,34572392R,15/3/1990,21.98,Normal,Normal
33,50.1,1.5230000000000001,MUJER,ALICANTE,27056667D,5/4/1987,21.6,Normal,Normal
31,49.8,1.5,MUJER,ALICANTE,53254337E,13/4/1989,22.13,Normal,Normal
31,59.0,1.59,MUJER,ALICANTE,71592706T,15/12/1989,23.34,Normal,Normal
25,51.3,1.535,MUJER,ALICANTE,31480208G,22/7/1995,21.77,Normal,Normal
28,59.0,1.585,MUJER,ALICANTE,40198449R,5/1/1992,23.49,Normal,Normal
26,59.5,1.59,MUJER,ALICANTE,46726393J,31/10/1994,23.54,Normal,Normal
33,59.6,1.575,MUJER,ALICANTE,38695304R,4/9/1987,24.03,Normal,Normal
28,55.0,1.56,MUJER,ALICANTE,14172567I,13/7/1992,22.6,Normal,Normal
30,64.0,1.67,MUJER,ALICANTE,48487220B,17/5/1990,22.95,Normal,Normal
30,64.0,1.6,MUJER,ALICANTE,62616783J,19/11/1990,25.0,Sobrepeso,Sobrepeso
34,68.3,1.62,MUJER,ALICANTE,51407616Z,21/1/1986,26.02,Sobrepeso,Sobrepeso
30,76.6,1.6,MUJER,ALICANTE,12626475Z,13/8/1990,29.92,Sobrepeso,Sobrepeso
33,94.4,1.601,MUJER,ALICANTE,14602037M,10/3/1987,36.83,Obesidad clase 2,Obesidad
32,65.2,1.64,MUJER,ALICANTE,40241396C,17/4/1988,24.24,Normal,Normal
37,75.8,1.75,HOMBRE,ALICANTE,46683446C,4/2/1983,24.75,Normal,Normal
45,49.9,1.6,HOMBRE,ALICANTE,13141839O,15/3/1975,19.49,Normal,Normal
48,,,HOMBRE,ALICANTE,42174011R,14/12/1972,,Obesidad clase 3,Obesidad
47,,,HOMBRE,ALICANTE,51149934R,16/12/1973,,Obesidad clase 3,Obesidad
38,71.4,1.67,HOMBRE,ALICANTE,26627197N,12/11/1982,25.6,Sobrepeso,Sobrepeso
49,58.7,1.67,HOMBRE,ALICANTE,68972939V,2/4/1971,21.05,Normal,Normal
39,77.6,1.825,HOMBRE,ALICANTE,82372403A,9/12/1981,23.3,Normal,Normal
48,78.3,1.705,HOMBRE,ALICANTE,56346521S,11/11/1972,26.93,Sobrepeso,Sobrepeso
46,90.5,1.72,HOMBRE,ALICANTE,45437983V,27/6/1974,30.59,Obesidad clase 1,Obesidad
36,66.4,1.735,HOMBRE,ALICANTE,66524960T,22/1/1984,22.06,Normal,Normal
44,66.0,1.743,HOMBRE,ALICANTE,14859719G,12/10/1976,21.72,Normal,Normal
38,77.6,1.805,HOMBRE,ALICANTE,67512741I,16/11/1982,23.82,Normal,Normal
37,71.0,1.79,HOMBRE,ALICANTE,52438344X,10/12/1983,22.16,Normal,Normal
36,72.8,1.735,HOMBRE,ALICANTE,89286870C,19/6/1984,24.18,Normal,Normal
49,77.5,1.72,HOMBRE,ALICANTE,73482374V,1/9/1971,26.2,Sobrepeso,Sobrepeso
48,73.6,1.65,HOMBRE,ALICANTE,83403131P,5/6/1972,27.03,Sobrepeso,Sobrepeso
36,71.0,1.67,HOMBRE,ALICANTE,83489025D,14/3/1984,25.46,Sobrepeso,Sobrepeso
35,78.0,1.75,HOMBRE,ALICANTE,50119206G,15/5/1985,25.47,Sobrepeso,Sobrepeso
40,65.7,1.635,HOMBRE,ALICANTE,76875187F,6/10/1980,24.58,Normal,Normal
47,72.4,1.69,HOMBRE,ALICANTE,45566824H,26/11/1973,25.35,Sobrepeso,Sobrepeso
42,75.1,1.71,HOMBRE,ALICANTE,64892974W,1/2/1978,25.68,Sobrepeso,Sobrepeso
43,76.4,1.625,HOMBRE,ALICANTE,63260988W,7/3/1977,28.93,Sobrepeso,Sobrepeso
45,69.5,1.62,HOMBRE,ALICANTE,48616061O,24/2/1975,26.48,Sobrepeso,Sobrepeso
48,62.4,1.555,HOMBRE,ALICANTE,42431693K,10/4/1972,25.81,Sobrepeso,Sobrepeso
45,75.5,1.685,HOMBRE,ALICANTE,83360184T,25/4/1975,26.59,Sobrepeso,Sobrepeso
42,96.4,1.805,HOMBRE,ALICANTE,86838891Z,2/7/1978,29.59,Sobrepeso,Sobrepeso
35,90.6,1.72,HOMBRE,ALICANTE,82630085V,27/10/1985,30.62,Obesidad clase 1,Obesidad
46,90.0,1.61,HOMBRE,ALICANTE,75844459Y,28/2/1974,34.72,Obesidad clase 1,Obesidad
49,112.2,1.77,HOMBRE,ALICANTE,42818216J,27/2/1971,35.81,Obesidad clase 2,Obesidad
48,113.8,1.57,HOMBRE,ALICANTE,55788210N,29/12/1972,46.17,Obesidad clase 3,Obesidad
47,62.6,1.574,MUJER,ALICANTE,22375444G,28/4/1973,25.27,Sobrepeso,Sobrepeso
46,48.4,1.545,MUJER,ALICANTE,26798985Z,26/10/1974,20.28,Normal,Normal
45,56.6,1.594,MUJER,ALICANTE,87096573O,11/8/1975,22.28,Normal,Normal
45,94.8,1.53,MUJER,ALICANTE,13528362K,9/5/1975,40.5,Obesidad clase 3,Obesidad
46,74.0,1.58,MUJER,ALICANTE,87526043Z,14/6/1974,29.64,Sobrepeso,Sobrepeso
40,66.0,1.625,MUJER,ALICANTE,35087756Q,22/11/1980,24.99,Normal,Normal
40,84.2,1.65,MUJER,ALICANTE,29289911N,26/9/1980,30.93,Obesidad clase 1,Obesidad
42,50.3,1.54,MUJER,ALICANTE,17436539C,19/3/1978,21.21,Normal,Normal
41,55.0,1.53,MUJER,ALICANTE,49603842C,18/3/1979,23.5,Normal,Normal
47,75.4,1.545,MUJER,ALICANTE,30363586D,1/4/1973,31.59,Obesidad clase 1,Obesidad
44,62.2,1.515,MUJER,ALICANTE,37321000V,28/6/1976,27.1,Sobrepeso,Sobrepeso
45,87.8,1.545,MUJER,ALICANTE,44879672D,16/10/1975,36.78,Obesidad clase 2,Obesidad
39,,,MUJER,ALICANTE,67298006L,25/6/1981,,Obesidad clase 3,Obesidad
48,61.5,1.43,MUJER,ALICANTE,15246242E,7/2/1972,30.07,Obesidad clase 1,Obesidad
40,69.0,1.62,MUJER,ALICANTE,80568629I,2/1/1980,26.29,Sobrepeso,Sobrepeso
35,53.0,1.5,MUJER,ALICANTE,16019288B,27/9/1985,23.56,Normal,Normal
49,78.8,1.585,MUJER,ALICANTE,26584250S,24/4/1971,31.37,Obesidad clase 1,Obesidad
43,80.0,1.58,MUJER,ALICANTE,20056306T,2/12/1977,32.05,Obesidad clase 1,Obesidad
42,65.5,1.54,MUJER,ALICANTE,63003306F,26/9/1978,27.62,Sobrepeso,Sobrepeso
45,67.0,1.565,MUJER,ALICANTE,81899986F,5/7/1975,27.36,Sobrepeso,Sobrepeso
45,71.4,1.6,MUJER,ALICANTE,51965927H,11/12/1975,27.89,Sobrepeso,Sobrepeso
48,58.1,1.66,MUJER,ALICANTE,82758926R,15/11/1972,21.08,Normal,Normal
35,53.0,1.58,MUJER,ALICANTE,66052543E,28/4/1985,21.23,Normal,Normal
47,49.4,1.52,MUJER,ALICANTE,53512019K,5/7/1973,21.38,Normal,Normal
42,54.6,1.62,MUJER,ALICANTE,54413906U,4/2/1978,20.8,Normal,Normal
46,54.5,1.59,MUJER,ALICANTE,36762689B,31/3/1974,21.56,Normal,Normal
37,58.5,1.605,MUJER,ALICANTE,41014442P,7/12/1983,22.71,Normal,Normal
46,59.5,1.66,MUJER,ALICANTE,22804914W,26/6/1974,21.59,Normal,Normal
39,54.0,1.58,MUJER,ALICANTE,62917412J,2/9/1981,21.63,Normal,Normal
42,65.8,1.705,MUJER,ALICANTE,78206544Y,14/1/1978,22.63,Normal,Normal
39,58.1,1.595,MUJER,ALICANTE,47027022I,27/7/1981,22.84,Normal,Normal
37,57.5,1.6030000000000002,MUJER,ALICANTE,57033673E,17/11/1983,22.38,Normal,Normal
49,56.5,1.5730000000000002,MUJER,ALICANTE,76445717I,19/2/1971,22.83,Normal,Normal
40,55.6,1.54,MUJER,ALICANTE,88470877K,28/8/1980,23.44,Normal,Normal
37,63.4,1.6230000000000002,MUJER,ALICANTE,32210307Z,10/4/1983,24.07,Normal,Normal
35,58.0,1.58,MUJER,ALICANTE,33971134F,11/9/1985,23.23,Normal,Normal
41,55.5,1.54,MUJER,ALICANTE,50076259X,30/5/1979,23.4,Normal,Normal
40,62.9,1.515,MUJER,ALICANTE,54499800L,15/10/1980,27.4,Sobrepeso,Sobrepeso
40,67.5,1.63,MUJER,ALICANTE,43032951K,19/2/1980,25.41,Sobrepeso,Sobrepeso
35,67.0,1.64,MUJER,ALICANTE,59782281B,13/7/1985,24.91,Normal,Normal
42,61.3,1.585,MUJER,ALICANTE,27142561O,2/10/1978,24.4,Normal,Normal
43,67.5,1.65,MUJER,ALICANTE,50591623C,14/8/1977,24.79,Normal,Normal
41,76.1,1.702,MUJER,ALICANTE,13786044H,19/12/1979,26.27,Sobrepeso,Sobrepeso
47,67.7,1.6,MUJER,ALICANTE,58665659G,27/7/1973,26.45,Sobrepeso,Sobrepeso
49,60.8,1.54,MUJER,ALICANTE,23706801K,5/1/1971,25.64,Sobrepeso,Sobrepeso
39,73.5,1.665,MUJER,ALICANTE,13614256I,11/6/1981,26.51,Sobrepeso,Sobrepeso
44,66.0,1.55,MUJER,ALICANTE,70476084Y,12/1/1976,27.47,Sobrepeso,Sobrepeso
49,61.9,1.5019999999999998,MUJER,ALICANTE,16105182W,2/8/1971,27.44,Sobrepeso,Sobrepeso
39,68.4,1.595,MUJER,ALICANTE,25381734V,26/7/1981,26.89,Sobrepeso,Sobrepeso
48,78.7,1.65,MUJER,ALICANTE,18037797K,7/2/1972,28.91,Sobrepeso,Sobrepeso
46,76.0,1.55,MUJER,ALICANTE,75973300R,11/2/1974,31.63,Obesidad clase 1,Obesidad
60,55.5,1.63,HOMBRE,ALICANTE,89243923A,22/10/1960,20.89,Normal,Normal
61,81.0,1.68,HOMBRE,ALICANTE,61671949G,24/3/1959,28.7,Sobrepeso,Sobrepeso
51,,,HOMBRE,ALICANTE,68242840Y,11/7/1969,,Obesidad clase 3,Obesidad
51,,,HOMBRE,ALICANTE,58622712U,16/3/1969,,Obesidad clase 3,Obesidad
54,72.1,1.68,HOMBRE,ALICANTE,31609049V,10/7/1966,25.55,Sobrepeso,Sobrepeso
58,66.0,1.59,HOMBRE,ALICANTE,73009957J,8/9/1962,26.11,Sobrepeso,Sobrepeso
51,81.0,1.57,HOMBRE,ALICANTE,51493510J,6/10/1969,32.86,Obesidad clase 1,Obesidad
55,55.0,1.63,HOMBRE,ALICANTE,36462060X,29/8/1965,20.7,Normal,Normal
57,66.3,1.705,HOMBRE,ALICANTE,44536096O,14/3/1963,22.81,Normal,Normal
53,71.5,1.733,HOMBRE,ALICANTE,22976702R,21/6/1967,23.81,Normal,Normal
52,64.3,1.63,HOMBRE,ALICANTE,42002223Y,8/1/1968,24.2,Normal,Normal
64,66.5,1.73,HOMBRE,ALICANTE,19068525L,14/9/1956,22.22,Normal,Normal
55,64.5,1.62,HOMBRE,ALICANTE,73697109V,4/11/1965,24.58,Normal,Normal
52,74.0,1.64,HOMBRE,ALICANTE,66181384U,3/3/1968,27.51,Sobrepeso,Sobrepeso
64,71.3,1.705,HOMBRE,ALICANTE,69960720G,4/9/1956,24.53,Normal,Normal
58,93.8,1.85,HOMBRE,ALICANTE,47714174D,24/3/1962,27.41,Sobrepeso,Sobrepeso
63,84.3,1.815,HOMBRE,ALICANTE,37063318I,6/10/1957,25.59,Sobrepeso,Sobrepeso
62,76.0,1.69,HOMBRE,ALICANTE,66997377H,28/12/1958,26.61,Sobrepeso,Sobrepeso
62,86.8,1.74,HOMBRE,ALICANTE,88213195O,22/11/1958,28.67,Sobrepeso,Sobrepeso
61,65.3,1.601,HOMBRE,ALICANTE,83531972P,5/7/1959,25.48,Sobrepeso,Sobrepeso
56,80.4,1.67,HOMBRE,ALICANTE,74556049Y,6/1/1964,28.83,Sobrepeso,Sobrepeso
59,86.6,1.735,HOMBRE,ALICANTE,62316154X,11/10/1961,28.77,Sobrepeso,Sobrepeso
62,87.5,1.63,HOMBRE,ALICANTE,55272846S,10/11/1958,32.93,Obesidad clase 1,Obesidad
59,85.9,1.71,HOMBRE,ALICANTE,33627558I,23/11/1961,29.38,Sobrepeso,Sobrepeso
64,82.0,1.6569999999999998,HOMBRE,ALICANTE,72151017L,27/12/1956,29.87,Sobrepeso,Sobrepeso
