edad,peso,talla,sexo,provincia,dni,fecha_nacimiento
45,71.8,182,HOMBRE,CUENCA,93863575Q,13/10/1975
61,115.2,195,MUJER,CUENCA,50596905O,7/5/1959
65,130.0,156,HOMBRE,SEVILLA,64020341E,24/10/1955
81,112.2,146,MUJER,GRANADA,15101109F,23/5/1939
22,41.9,162,MUJER,MADRID,53369165B,26/4/1998
93,61.6,190,MUJER,MURCIA,87605910P,11/3/1927
43,138.6,164,HOMBRE,SEVILLA,21832893U,2/12/1977
25,54.6,146,MUJER,SEVILLA,70882157X,11/5/1995
17,119.6,184,MUJER,SEVILLA,99184444H,30/7/2003
84,96.0,171,MUJER,CUENCA,33531661V,29/1/1936
65,107.4,193,MUJER,SEVILLA,47763814V,18/2/1955
48,44.7,195,MUJER,GRANADA,51158867N,5/3/1972
76,127.4,197,HOMBRE,MADRID,95615178C,24/12/1944
52,31.4,162,HOMBRE,SEVILLA,42771692U,26/10/1968
92,114.3,173,HOMBRE,GRANADA,25021374X,3/10/1928
56,135.5,188,MUJER,GRANADA,58209223A,12/9/1964
25,129.3,199,HOMBRE,MURCIA,11583667S,27/8/1995
25,74.0,186,MUJER,MADRID,44915316Y,19/8/1995
92,119.3,199,MUJER,GRANADA,71889717Q,10/4/1928
40,52.1,179,MUJER,SEVILLA,31736969G,9/8/1980
35,128.6,151,HOMBRE,MURCIA,85422227E,24/5/1985
89,69.4,185,HOMBRE,GRANADA,57809976N,3/1/1931
52,125.0,182,HOMBRE,SEVILLA,20189857C,9/8/1968
14,49.7,154,MUJER,MÁLAGA,32515338D,28/4/2006
76,132.5,144,MUJER,GRANADA,20217920F,16/2/1944
85,120.8,189,MUJER,MADRID,82371390J,11/10/1935
32,122.3,162,MUJER,GRANADA,13031880Q,23/9/1988
45,55.6,178,HOMBRE,MÁLAGA,39168416H,24/4/1975
94,86.6,196,HOMBRE,MADRID,41646559V,15/2/1926
62,63.2,187,HOMBRE,CUENCA,54623383G,18/3/1958
34,57.1,199,HOMBRE,SEVILLA,90674944W,23/4/1986
89,38.4,169,MUJER,MADRID,65697035Y,24/11/1931
66,61.8,147,HOMBRE,MURCIA,95783040G,21/11/1954
57,124.9,155,MUJER,MÁLAGA,39273989U,20/11/1963
69,137.3,190,HOMBRE,BARCELONA,46290672V,17/4/1951
29,120.4,170,MUJER,MÁLAGA,47927522T,6/2/1991
62,145.5,149,HOMBRE,MADRID,61759314A,19/7/1958
88,147.5,193,MUJER,GRANADA,73280660B,16/8/1932
26,105.5,149,MUJER,MÁLAGA,84577919Q,4/5/1994
84,64.2,163,MUJER,GRANADA,35473901D,21/9/1936
74,118.6,152,MUJER,SEVILLA,52782040G,28/1/1946
57,141.8,195,MUJER,BARCELONA,84419578Z,28/11/1963
51,77.3,136,MUJER,MÁLAGA,35465002I,22/9/1969
72,134.1,169,MUJER,GRANADA,45865923D,18/3/1948
20,47.9,150,MUJER,MADRID,96149355D,20/7/2000
74,86.4,173,HOMBRE,GRANADA,23154870Z,10/5/1946
85,110.0,155,MUJER,CUENCA,56395342O,8/11/1935
69,122.0,176,MUJER,BARCELONA,44842478T,25/7/1951
49,120.8,147,HOMBRE,MÁLAGA,81348169R,19/2/1971
42,50.7,194,HOMBRE,MÁLAGA,69959360M,26/2/1978
18,136.1,141,MUJER,MÁLAGA,62406507M,9/1/2002
90,140.3,194,MUJER,SEVILLA,98400890X,28/10/1930
47,58.5,134,HOMBRE,MADRID,16376217F,26/9/1973
62,60.8,185,HOMBRE,CUENCA,97654006I,4/9/1958
34,128.2,133,MUJER,CUENCA,26483554P,1/12/1986
86,42.4,157,HOMBRE,SEVILLA,19187606D,25/10/1934
78,54.5,165,MUJER,BARCELONA,80969868N,9/1/1942
39,31.6,137,MUJER,MURCIA,97175393G,28/4/1981
70,95.7,198,MUJER,MADRID,58710806B,22/8/1950
41,52.4,179,HOMBRE,SEVILLA,38331507A,22/11/1979
65,39.2,139,HOMBRE,SEVILLA,94093117Z,20/12/1955
50,112.7,169,HOMBRE,SEVILLA,86961174H,6/3/1970
19,107.5,175,MUJER,BARCELONA,66165295U,16/3/2001
71,104.8,179,MUJER,MÁLAGA,72582048U,5/3/1949
22,76.6,171,HOMBRE,MADRID,18801690P,10/8/1998
52,137.4,176,HOMBRE,MURCIA,71604849R,12/1/1968
31,79.1,143,HOMBRE,GRANADA,79715079H,2/10/1989
17,85.6,199,MUJER,MADRID,96659686X,9/4/2003
41,143.8,174,HOMBRE,MÁLAGA,62464510G,16/2/1979
89,77.3,191,HOMBRE,GRANADA,49351743D,11/5/1931
72,97.7,180,MUJER,MÁLAGA,60341939L,14/10/1948
72,60.5,188,MUJER,MURCIA,19478584T,28/6/1948
27,65.0,134,HOMBRE,MURCIA,49128143W,27/3/1993
17,35.3,165,MUJER,CUENCA,62881002E,31/8/2003
58,75.2,160,HOMBRE,GRANADA,51621341J,12/4/1962
40,70.1,159,HOMBRE,CUENCA,37056448W,9/5/1980
80,71.9,173,HOMBRE,BARCELONA,42260040O,26/1/1940
30,116.2,184,HOMBRE,MURCIA,72845808J,3/9/1990
73,46.3,160,HOMBRE,MURCIA,43426797Q,15/1/1947
46,133.3,189,MUJER,SEVILLA,68581406Q,14/8/1974
50,59.5,166,HOMBRE,SEVILLA,69899582L,1/8/1970
55,59.3,192,MUJER,CUENCA,94084985A,31/5/1965
65,113.8,137,MUJER,MÁLAGA,79737920T,23/5/1955
36,98.9,142,HOMBRE,MADRID,47953184B,6/11/1984
88,96.5,147,MUJER,MÁLAGA,67424121N,21/2/1932
18,63.1,185,HOMBRE,BARCELONA,72172188M,29/10/2002
16,50.0,183,HOMBRE,BARCELONA,70959651V,29/3/2004
71,89.7,134,HOMBRE,GRANADA,39661465L,31/1/1949
53,79.0,144,HOMBRE,MADRID,36873034V,16/10/1967
73,69.0,144,MUJER,MURCIA,86415157V,3/9/1947
75,39.9,161,MUJER,BARCELONA,63963866T,14/10/1945
22,122.8,169,HOMBRE,MADRID,30418322Y,8/12/1998
28,116.1,135,HOMBRE,GRANADA,66533771H,4/12/1992
16,68.2,186,HOMBRE,GRANADA,34226027H,23/5/2004
80,142.1,184,MUJER,GRANADA,37909028J,26/3/1940
90,82.4,157,MUJER,SEVILLA,15915284S,27/1/1930
16,42.5,164,HOMBRE,GRANADA,67452161F,2/2/2004
35,62.0,167,HOMBRE,MURCIA,62109037G,9/7/1985
16,75.0,140,MUJER,MADRID,82248132K,12/6/2004
64,148.9,177,HOMBRE,CUENCA,23910478T,29/8/1956
16,144.8,177,MUJER,MURCIA,33638564F,22/9/2004
94,137.1,144,HOMBRE,SEVILLA,73751874W,7/7/1926
24,58.1,162,HOMBRE,GRANADA,46625220Q,20/2/1996
36,53.8,164,HOMBRE,MADRID,77026623I,27/4/1984
75,115.8,142,HOMBRE,CUENCA,77440264J,28/2/1945
42,105.4,187,MUJER,MADRID,89760100S,9/1/1978
21,57.8,199,MUJER,GRANADA,30720289F,3/3/1999
52,40.0,174,MUJER,MURCIA,80520650V,4/4/1968
78,107.2,135,MUJER,BARCELONA,18554194B,29/12/1942
91,99.3,178,MUJER,GRANADA,55865244U,30/1/1929
59,146.4,136,HOMBRE,MURCIA,88781586V,19/12/1961
36,144.3,186,HOMBRE,MURCIA,28621203B,8/11/1984
77,113.0,188,MUJER,MADRID,15495349W,15/12/1943
30,142.4,183,MUJER,CUENCA,60645492B,19/6/1990
32,90.5,157,HOMBRE,MÁLAGA,68631132E,10/7/1988
31,31.8,160,MUJER,SEVILLA,75510682S,25/11/1989
51,117.9,190,MUJER,CUENCA,76908837A,28/3/1969
67,116.4,185,HOMBRE,SEVILLA,70693909K,1/8/1953
78,35.8,192,HOMBRE,MURCIA,13052121A,22/2/1942
31,31.6,184,HOMBRE,GRANADA,46408105V,18/5/1989
54,110.7,157,HOMBRE,MÁLAGA,65910222T,1/5/1966
15,109.0,161,HOMBRE,SEVILLA,58787085A,14/5/2005
19,36.3,151,MUJER,CUENCA,56934327I,31/12/2001
26,139.8,196,MUJER,MURCIA,44581835Y,23/12/1994
22,102.4,195,HOMBRE,MADRID,33996761C,15/9/1998
36,59.8,163,MUJER,BARCELONA,44391235V,20/7/1984
82,142.0,151,MUJER,CUENCA,99301450P,6/2/1938
37,109.1,141,MUJER,MADRID,79096624O,28/7/1983
31,127.0,184,HOMBRE,MADRID,95758642L,4/4/1989
46,75.3,185,HOMBRE,MADRID,74939946E,2/3/1974
68,118.7,159,HOMBRE,MADRID,71226418G,17/3/1952
