edad;peso;talla;sexo;provincia;dni;fecha_nacimiento
23;65.0;154.5;MUJER;ALICANTE;71764494N;8/6/1997
24;43.3;154.5;MUJER;ALICANTE;77519392S;1/3/1996
22;54.7;155.0;MUJER;ALICANTE;49432054F;25/4/1998
23;42.8;151.5;MUJER;ALICANTE;84347965H;1/5/1997
18;52.4;164.0;MUJER;ALICANTE;38609410S;11/7/2002
18;47.7;162.0;MUJER;ALICANTE;75372042Q;22/9/2002
15;49.0;166.3;MUJER;ALICANTE;52996655S;16/2/2005
17;47.8;160.0;MUJER;ALICANTE;16148129X;19/5/2003
19;45.2;155.0;MUJER;ALICANTE;87354255G;12/11/2001
20;52.3;168.0;MUJER;ALICANTE;61843737C;30/12/2000
17;59.6;172.0;MUJER;ALICANTE;14687931W;6/11/2003
18;53.3;161.5;MUJER;ALICANTE;18424320P;22/12/2002
17;49.0;158.5;MUJER;ALICANTE;18853790Z;24/12/2003
22;46.5;156.0;MUJER;ALICANTE;81771145H;11/8/1998
24;49.8;155.0;MUJER;ALICANTE;64377610C;29/4/1996
23;52.0;160.3;MUJER;ALICANTE;74856678B;29/1/1997
21;56.4;162.0;MUJER;ALICANTE;62230260X;9/4/1999
23;52.4;157.0;MUJER;ALICANTE;35302491R;21/7/1997
17;53.1;159.7;MUJER;ALICANTE;40370237O;22/8/2003
17;60.4;170.0;MUJER;ALICANTE;74083632L;8/8/2003
21;52.4;159.5;MUJER;ALICANTE;73396480O;8/3/1999
21;80.0;180.3;MUJER;ALICANTE;75157307I;14/7/1999
16;62.3;168.0;MUJER;ALICANTE;68113999T;26/4/2004
17;64.5;161.3;MUJER;ALICANTE;75629724I;9/12/2003
16;53.1;156.0;MUJER;ALICANTE;73052904D;25/10/2004
20;57.5;160.0;MUJER;ALICANTE;46425764V;8/1/2000
19;58.5;163.0;MUJER;ALICANTE;54242118G;7/11/2001
21;67.0;160.0;MUJER;ALICANTE;79323166R;8/2/1999
20;63.8;164.0;MUJER;ALICANTE;69703038V;10/5/2000
17;64.4;163.0;MUJER;ALICANTE;88256142L;5/1/2003
23;67.7;171.0;MUJER;ALICANTE;79623795T;14/3/1997
19;65.9;163.0;MUJER;ALICANTE;53082549M;25/7/2001
21;58.0;156.0;MUJER;ALICANTE;45523877U;20/6/1999
17;61.2;156.0;MUJER;ALICANTE;23277331A;13/1/2003
20;72.7;164.5;MUJER;ALICANTE;68199893K;8/8/2000
20;71.6;161.0;MUJER;ALICANTE;85679322L;3/6/2000
16;71.5;166.0;MUJER;ALICANTE;35560173P;5/11/2004
33;62.5;171.5;HOMBRE;ALICANTE;43634209Z;30/6/1987
34;70.3;179.5;HOMBRE;ALICANTE;24136271Q;14/5/1986
29;89.2;173.0;HOMBRE;ALICANTE;48186591F;1/2/1991
33;51.3;156.0;HOMBRE;ALICANTE;77476445M;19/2/1987
32;69.3;168.1;HOMBRE;ALICANTE;76273929J;1/2/1988
34;71.0;174.0;HOMBRE;ALICANTE;16964122W;28/9/1986
32;77.8;179.5;HOMBRE;ALICANTE;83145449Q;24/5/1988
32;82.2;184.0;HOMBRE;ALICANTE;58923341I;25/6/1988
34;80.6;174.5;HOMBRE;ALICANTE;33799346Q;17/2/1986
25;80.4;177.5;HOMBRE;ALICANTE;55659369S;1/6/1995
32;67.4;157.5;HOMBRE;ALICANTE;37192159C;16/1/1988
33;78.0;174.0;HOMBRE;ALICANTE;89372764V;15/8/1987
32;80.3;173.5;HOMBRE;ALICANTE;14730878V;25/1/1988
33;78.3;165.5;HOMBRE;ALICANTE;16835281R;5/8/1987
31;76.4;159.0;HOMBRE;ALICANTE;59911122W;19/11/1989
33;89.0;169.3;HOMBRE;ALICANTE;27099614A;17/6/1987
29;65.1;166.5;MUJER;ALICANTE;79494954W;1/8/1991
27;63.0;158.0;MUJER;ALICANTE;80182106V;20/10/1993
28;61.5;170.0;MUJER;ALICANTE;84176177X;14/3/1992
33;54.6;164.7;MUJER;ALICANTE;44278414C;7/2/1987
27;51.2;145.0;MUJER;ALICANTE;86581209B;20/10/1993
30;61.4;161.0;MUJER;ALICANTE;72838169X;2/9/1990
33;81.0;153.0;MUJER;ALICANTE;67727476S;19/3/1987
34;64.4;156.5;MUJER;ALICANTE;85636375R;24/2/1986
32;60.5;156.0;MUJER;ALICANTE;83231343I;19/10/1988
29;77.2;165.0;MUJER;ALICANTE;12111111T;11/12/1991
26;52.8;167.0;MUJER;ALICANTE;82071774J;21/3/1994
27;48.0;162.5;MUJER;ALICANTE;62960359A;3/3/1993
25;45.6;156.5;MUJER;ALICANTE;52266556Z;28/5/1995
27;57.2;163.5;MUJER;ALICANTE;35388385J;11/11/1993
33;53.8;163.3;MUJER;ALICANTE;65708967S;1/11/1987
32;50.6;160.0;MUJER;ALICANTE;28774547M;25/6/1988
25;51.0;159.5;MUJER;ALICANTE;85335746R;30/4/1995
27;51.4;153.6;MUJER;ALICANTE;41701594H;11/5/1993
28;53.7;155.0;MUJER;ALICANTE;30578321B;24/9/1992
30;58.4;163.0;MUJER;ALICANTE;34572392R;15/3/1990
33;50.1;152.3;MUJER;ALICANTE;27056667D;5/4/1987
31;49.8;150.0;MUJER;ALICANTE;53254337E;13/4/1989
31;59.0;159.0;MUJER;ALICANTE;71592706T;15/12/1989
25;51.3;153.5;MUJER;ALICANTE;31480208G;22/7/1995
28;59.0;158.5;MUJER;ALICANTE;40198449R;5/1/1992
26;59.5;159.0;MUJER;ALICANTE;46726393J;31/10/1994
33;59.6;157.5;MUJER;ALICANTE;38695304R;4/9/1987
28;55.0;156.0;MUJER;ALICANTE;14172567I;13/7/1992
30;64.0;167.0;MUJER;ALICANTE;48487220B;17/5/1990
30;64.0;160.0;MUJER;ALICANTE;62616783J;19/11/1990
34;68.3;162.0;MUJER;ALICANTE;51407616Z;21/1/1986
30;76.6;160.0;MUJER;ALICANTE;12626475Z;13/8/1990
33;94.4;160.1;MUJER;ALICANTE;14602037M;10/3/1987
32;65.2;164.0;MUJER;ALICANTE;40241396C;17/4/1988
37;75.8;175.0;HOMBRE;ALICANTE;46683446C;4/2/1983
45;49.9;160.0;HOMBRE;ALICANTE;13141839O;15/3/1975
48;;;HOMBRE;ALICANTE;42174011R;14/12/1972
47;;;HOMBRE;ALICANTE;51149934R;16/12/1973
38;71.4;167.0;HOMBRE;ALICANTE;26627197N;12/11/1982
49;58.7;167.0;HOMBRE;ALICANTE;68972939V;2/4/1971
39;77.6;182.5;HOMBRE;ALICANTE;82372403A;9/12/1981
48;78.3;170.5;HOMBRE;ALICANTE;56346521S;11/11/1972
46;90.5;172.0;HOMBRE;ALICANTE;45437983V;27/6/1974
36;66.4;173.5;HOMBRE;ALICANTE;66524960T;22/1/1984
44;66.0;174.3;HOMBRE;ALICANTE;14859719G;12/10/1976
38;77.6;180.5;HOMBRE;ALICANTE;67512741I;16/11/1982
37;71.0;179.0;HOMBRE;ALICANTE;52438344X;10/12/1983
36;72.8;173.5;HOMBRE;ALICANTE;89286870C;19/6/1984
49;77.5;172.0;HOMBRE;ALICANTE;73482374V;1/9/1971
48;73.6;165.0;HOMBRE;ALICANTE;83403131P;5/6/1972
36;71.0;167.0;HOMBRE;ALICANTE;83489025D;14/3/1984
35;78.0;175.0;HOMBRE;ALICANTE;50119206G;15/5/1985
40;65.7;163.5;HOMBRE;ALICANTE;76875187F;6/10/1980
47;72.4;169.0;HOMBRE;ALICANTE;45566824H;26/11/1973
42;75.1;171.0;HOMBRE;ALICANTE;64892974W;1/2/1978
43;76.4;162.5;HOMBRE;ALICANTE;63260988W;7/3/1977
45;69.5;162.0;HOMBRE;ALICANTE;48616061O;24/2/1975
48;62.4;155.5;HOMBRE;ALICANTE;42431693K;10/4/1972
45;75.5;168.5;HOMBRE;ALICANTE;83360184T;25/4/1975
42;96.4;180.5;HOMBRE;ALICANTE;86838891Z;2/7/1978
35;90.6;172.0;HOMBRE;ALICANTE;82630085V;27/10/1985
46;90.0;161.0;HOMBRE;ALICANTE;75844459Y;28/2/1974
49;112.2;177.0;HOMBRE;ALICANTE;42818216J;27/2/1971
48;113.8;157.0;HOMBRE;ALICANTE;55788210N;29/12/1972
47;62.6;157.4;MUJER;ALICANTE;22375444G;28/4/1973
46;48.4;154.5;MUJER;ALICANTE;26798985Z;26/10/1974
45;56.6;159.4;MUJER;ALICANTE;87096573O;11/8/1975
45;94.8;153.0;MUJER;ALICANTE;13528362K;9/5/1975
46;74.0;158.0;MUJER;ALICANTE;87526043Z;14/6/1974
40;66.0;162.5;MUJER;ALICANTE;35087756Q;22/11/1980
40;84.2;165.0;MUJER;ALICANTE;29289911N;26/9/1980
42;50.3;154.0;MUJER;ALICANTE;17436539C;19/3/1978
41;55.0;153.0;MUJER;ALICANTE;49603842C;18/3/1979
47;75.4;154.5;MUJER;ALICANTE;30363586D;1/4/1973
44;62.2;151.5;MUJER;ALICANTE;37321000V;28/6/1976
45;87.8;154.5;MUJER;ALICANTE;44879672D;16/10/1975
39;;;MUJER;ALICANTE;67298006L;25/6/1981
48;61.5;143.0;MUJER;ALICANTE;15246242E;7/2/1972
40;69.0;162.0;MUJER;ALICANTE;80568629I;2/1/1980
35;53.0;150.0;MUJER;ALICANTE;16019288B;27/9/1985
49;78.8;158.5;MUJER;ALICANTE;26584250S;24/4/1971
43;80.0;158.0;MUJER;ALICANTE;20056306T;2/12/1977
42;65.5;154.0;MUJER;ALICANTE;63003306F;26/9/1978
45;67.0;156.5;MUJER;ALICANTE;81899986F;5/7/1975
45;71.4;160.0;MUJER;ALICANTE;51965927H;11/12/1975
48;58.1;166.0;MUJER;ALICANTE;82758926R;15/11/1972
35;53.0;158.0;MUJER;ALICANTE;66052543E;28/4/1985
47;49.4;152.0;MUJER;ALICANTE;53512019K;5/7/1973
42;54.6;162.0;MUJER;ALICANTE;54413906U;4/2/1978
46;54.5;159.0;MUJER;ALICANTE;36762689B;31/3/1974
37;58.5;160.5;MUJER;ALICANTE;41014442P;7/12/1983
46;59.5;166.0;MUJER;ALICANTE;22804914W;26/6/1974
39;54.0;158.0;MUJER;ALICANTE;62917412J;2/9/1981
42;65.8;170.5;MUJER;ALICANTE;78206544Y;14/1/1978
39;58.1;159.5;MUJER;ALICANTE;47027022I;27/7/1981
37;57.5;160.3;MUJER;ALICANTE;57033673E;17/11/1983
49;56.5;157.3;MUJER;ALICANTE;76445717I;19/2/1971
40;55.6;154.0;MUJER;ALICANTE;88470877K;28/8/1980
37;63.4;162.3;MUJER;ALICANTE;32210307Z;10/4/1983
35;58.0;158.0;MUJER;ALICANTE;33971134F;11/9/1985
41;55.5;154.0;MUJER;ALICANTE;50076259X;30/5/1979
40;62.9;151.5;MUJER;ALICANTE;54499800L;15/10/1980
40;67.5;163.0;MUJER;ALICANTE;43032951K;19/2/1980
35;67.0;164.0;MUJER;ALICANTE;59782281B;13/7/1985
42;61.3;158.5;MUJER;ALICANTE;27142561O;2/10/1978
43;67.5;165.0;MUJER;ALICANTE;50591623C;14/8/1977
41;76.1;170.2;MUJER;ALICANTE;13786044H;19/12/1979
47;67.7;160.0;MUJER;ALICANTE;58665659G;27/7/1973
49;60.8;154.0;MUJER;ALICANTE;23706801K;5/1/1971
39;73.5;166.5;MUJER;ALICANTE;13614256I;11/6/1981
44;66.0;155.0;MUJER;ALICANTE;70476084Y;12/1/1976
49;61.9;150.2;MUJER;ALICANTE;16105182W;2/8/1971
39;68.4;159.5;MUJER;ALICANTE;25381734V;26/7/1981
48;78.7;165.0;MUJER;ALICANTE;18037797K;7/2/1972
46;76.0;155.0;MUJER;ALICANTE;75973300R;11/2/1974
60;55.5;163.0;HOMBRE;ALICANTE;89243923A;22/10/1960
61;81.0;168.0;HOMBRE;ALICANTE;61671949G;24/3/1959
51;;;HOMBRE;ALICANTE;68242840Y;11/7/1969
51;;;HOMBRE;ALICANTE;58622712U;16/3/1969
54;72.1;168.0;HOMBRE;ALICANTE;31609049V;10/7/1966
58;66.0;159.0;HOMBRE;ALICANTE;73009957J;8/9/1962
51;81.0;157.0;HOMBRE;ALICANTE;51493510J;6/10/1969
55;55.0;163.0;HOMBRE;ALICANTE;36462060X;29/8/1965
57;66.3;170.5;HOMBRE;ALICANTE;44536096O;14/3/1963
53;71.5;173.3;HOMBRE;ALICANTE;22976702R;21/6/1967
52;64.3;163.0;HOMBRE;ALICANTE;42002223Y;8/1/1968
64;66.5;173.0;HOMBRE;ALICANTE;19068525L;14/9/1956
55;64.5;162.0;HOMBRE;ALICANTE;73697109V;4/11/1965
52;74.0;164.0;HOMBRE;ALICANTE;66181384U;3/3/1968
64;71.3;170.5;HOMBRE;ALICANTE;69960720G;4/9/1956
58;93.8;185.0;HOMBRE;ALICANTE;47714174D;24/3/1962
63;84.3;181.5;HOMBRE;ALICANTE;37063318I;6/10/1957
62;76.0;169.0;HOMBRE;ALICANTE;66997377H;28/12/1958
62;86.8;174.0;HOMBRE;ALICANTE;88213195O;22/11/1958
61;65.3;160.1;HOMBRE;ALICANTE;83531972P;5/7/1959
56;80.4;167.0;HOMBRE;ALICANTE;74556049Y;6/1/1964
59;86.6;173.5;HOMBRE;ALICANTE;62316154X;11/10/1961
62;87.5;163.0;HOMBRE;ALICANTE;55272846S;10/11/1958
59;85.9;171.0;HOMBRE;ALICANTE;33627558I;23/11/1961
64;82.0;165.7;HOMBRE;ALICANTE;72151017L;27/12/1956
60;91.8;166.0;HOMBRE;ALICANTE;65279497N;25/6/1960
55;92.3;171.0;HOMBRE;ALICANTE;33026300R;17/12/1965
58;77.5;161.5;HOMBRE;ALICANTE;49775630A;18/4/1962
57;118.5;184.5;HOMBRE;ALICANTE;72967010G;1/2/1963
56;95.4;151.8;HOMBRE;ALICANTE;31093685O;1/4/1964
59;89.5;162.0;HOMBRE;ALICANTE;26498356H;6/5/1961
50;62.0;156.5;MUJER;ALICANTE;59181023I;4/10/1970
54;43.2;145.5;MUJER;ALICANTE;24694582O;16/3/1966
60;73.7;147.5;MUJER;ALICANTE;54285065V;16/11/1960
63;108.0;166.5;MUJER;ALICANTE;63175094U;3/5/1957
64;61.8;155.5;MUJER;ALICANTE;50720464V;24/2/1956
53;59.3;155.5;MUJER;ALICANTE;39081827V;22/2/1967
56;60.2;150.0;MUJER;ALICANTE;29590540M;16/2/1964
52;;;MUJER;ALICANTE;89759287Z;30/4/1968
50;;;MUJER;ALICANTE;83574919R;14/7/1970
58;58.0;160.0;MUJER;ALICANTE;28645706M;28/10/1962
53;92.0;153.5;MUJER;ALICANTE;15031507V;25/3/1967
62;79.0;155.5;MUJER;ALICANTE;29762328W;8/10/1958
55;62.5;152.5;MUJER;ALICANTE;14902666K;30/8/1965
63;79.4;158.0;MUJER;ALICANTE;56045892R;8/2/1957
54;62.6;152.0;MUJER;ALICANTE;13270680V;10/6/1966
56;67.2;156.5;MUJER;ALICANTE;15375083X;2/3/1964
50;48.4;165.0;MUJER;ALICANTE;29848222F;29/5/1970
64;56.5;167.5;MUJER;ALICANTE;78077703J;9/8/1956
59;57.6;157.3;MUJER;ALICANTE;71335024R;27/10/1961
56;50.0;149.0;MUJER;ALICANTE;22504285T;3/4/1964
58;63.3;161.5;MUJER;ALICANTE;42302852B;20/1/1962
54;68.5;165.3;MUJER;ALICANTE;29805275K;23/11/1966
50;62.2;155.0;MUJER;ALICANTE;54456853E;21/7/1970
51;66.0;167.1;MUJER;ALICANTE;28430971Z;16/9/1969
63;65.8;160.0;MUJER;ALICANTE;59352811V;28/2/1957
54;56.0;152.0;MUJER;ALICANTE;44106626V;14/8/1966
59;76.0;166.0;MUJER;ALICANTE;28216236V;19/6/1961
55;75.5;165.0;MUJER;ALICANTE;51751192P;30/11/1965
52;71.2;162.5;MUJER;ALICANTE;39038880O;26/11/1968
51;65.5;159.5;MUJER;ALICANTE;75071413J;10/5/1969
55;60.7;153.5;MUJER;ALICANTE;25982992Z;23/9/1965
52;66.0;155.3;MUJER;ALICANTE;70862607P;15/5/1968
57;74.4;157.5;MUJER;ALICANTE;53812648X;5/4/1963
57;71.2;155.5;MUJER;ALICANTE;68028105X;20/1/1963
64;63.9;148.5;MUJER;ALICANTE;49517948A;13/8/1956
64;73.5;162.5;MUJER;ALICANTE;80268000S;23/2/1956
53;71.0;150.0;MUJER;ALICANTE;35689014A;15/12/1967
59;89.7;162.0;MUJER;ALICANTE;12411740V;17/5/1961
50;95.0;162.5;MUJER;ALICANTE;75243201P;31/12/1970
53;75.3;150.5;MUJER;ALICANTE;42560534N;29/1/1967
53;98.2;160.0;MUJER;ALICANTE;49818577J;13/9/1967
65;74.7;160.5;HOMBRE;ALICANTE;37406894S;7/9/1955
65;82.5;173.0;HOMBRE;ALICANTE;63604564M;27/11/1955
72;64.0;161.0;HOMBRE;ALICANTE;69316515F;24/10/1948
73;65.0;169.0;HOMBRE;ALICANTE;67684529Q;29/11/1947
80;76.2;150.5;HOMBRE;ALICANTE;35646067N;21/4/1940
81;78.5;155.3;HOMBRE;ALICANTE;50677517D;18/6/1939
72;74.5;167.5;HOMBRE;ALICANTE;82286509V;6/2/1948
84;55.6;171.5;HOMBRE;ALICANTE;70175455H;20/4/1936
84;;;HOMBRE;ALICANTE;66482013Z;3/6/1936
66;44.0;156.0;HOMBRE;ALICANTE;37106265S;9/12/1954
69;60.4;168.0;HOMBRE;ALICANTE;52309503Q;31/1/1951
75;71.6;163.0;HOMBRE;ALICANTE;40928548J;19/1/1945
65;69.4;168.1;HOMBRE;ALICANTE;39124774U;20/7/1955
75;70.5;167.3;HOMBRE;ALICANTE;19712730I;7/10/1945
73;72.0;169.0;HOMBRE;ALICANTE;66911483P;27/4/1947
68;81.5;176.5;HOMBRE;ALICANTE;34915968R;27/4/1952
65;71.9;164.5;HOMBRE;ALICANTE;20743458V;3/5/1955
76;71.4;168.0;HOMBRE;ALICANTE;84262071O;20/2/1944
73;78.9;167.5;HOMBRE;ALICANTE;77218763K;26/5/1947
69;76.0;170.0;HOMBRE;ALICANTE;25295840F;30/5/1951
72;78.8;164.7;HOMBRE;ALICANTE;73568268T;6/9/1948
67;84.1;167.5;HOMBRE;ALICANTE;22117762Y;24/8/1953
75;104.0;178.0;HOMBRE;ALICANTE;32897459F;25/12/1945
72;80.3;151.0;HOMBRE;ALICANTE;39425403O;17/7/1948
78;104.5;165.0;HOMBRE;ALICANTE;31265473S;12/12/1942
66;89.2;154.0;MUJER;ALICANTE;26412462Y;19/6/1954
72;49.8;147.0;MUJER;ALICANTE;28559812B;8/7/1948
70;85.6;146.5;MUJER;ALICANTE;32854512A;25/3/1950
70;57.0;145.5;MUJER;ALICANTE;18166638Z;23/11/1950
74;66.1;149.0;MUJER;ALICANTE;16405811Y;22/8/1946
67;75.5;148.5;MUJER;ALICANTE;81169887V;18/6/1953
78;68.9;145.0;MUJER;ALICANTE;35216597K;7/4/1942
71;72.5;161.2;MUJER;ALICANTE;36376166D;25/1/1949
72;65.0;161.1;MUJER;ALICANTE;53426125H;3/5/1948
66;67.5;154.0;MUJER;ALICANTE;85765216X;15/10/1954
67;;;MUJER;ALICANTE;79366113B;3/7/1953
79;54.5;140.0;MUJER;ALICANTE;52781920G;18/6/1941
87;;;MUJER;ALICANTE;21731239C;22/3/1933
69;72.6;158.0;MUJER;ALICANTE;22203656D;11/2/1951
70;36.8;139.0;MUJER;ALICANTE;70905554F;9/10/1950
66;58.6;143.0;MUJER;ALICANTE;12755316X;26/10/1954
74;82.3;153.2;MUJER;ALICANTE;76016247F;25/10/1946
79;58.7;150.3;MUJER;ALICANTE;17135910N;11/8/1941
78;71.3;157.0;MUJER;ALICANTE;16191076O;20/8/1942
82;46.5;143.5;MUJER;ALICANTE;75715618M;8/5/1938
70;63.5;157.0;MUJER;ALICANTE;24179218D;24/8/1950
89;60.0;151.0;MUJER;ALICANTE;49947418R;18/8/1931
74;56.0;143.0;MUJER;ALICANTE;23191437J;16/2/1946
76;80.5;146.5;MUJER;ALICANTE;73439427Y;26/6/1944
70;79.4;166.0;MUJER;ALICANTE;25467628A;1/7/1950
83;68.0;149.0;MUJER;ALICANTE;13313627U;16/9/1937
80;72.2;145.3;MUJER;ALICANTE;77261710Z;14/3/1940
70;71.3;151.5;MUJER;ALICANTE;69015886B;9/2/1950
76;;;MUJER;ALICANTE;28688653M;4/12/1944
83;81.3;144.5;MUJER;ALICANTE;25596469R;21/4/1937
70;94.0;151.0;MUJER;ALICANTE;30535374C;13/12/1950
68;62.8;156.0;MUJER;ALICANTE;57806719F;30/1/1952
73;62.6;155.0;MUJER;ALICANTE;15933394B;24/3/1947
76;31.7;148.5;MUJER;ALICANTE;28044448K;8/7/1944
81;57.2;153.5;MUJER;ALICANTE;89888128T;26/9/1939
73;58.8;153.5;MUJER;ALICANTE;84519753N;23/12/1947
72;63.0;168.2;MUJER;ALICANTE;24050377M;25/1/1948
83;57.5;154.0;MUJER;ALICANTE;59223970H;19/5/1937
66;64.5;160.0;MUJER;ALICANTE;34701233H;19/7/1954
68;68.5;162.4;MUJER;ALICANTE;63948140V;27/9/1952
82;69.9;165.0;MUJER;ALICANTE;85593428X;11/5/1938
65;53.7;139.0;MUJER;ALICANTE;34400604G;1/2/1955
85;71.0;154.0;MUJER;ALICANTE;21044087N;26/10/1935
71;82.0;164.2;MUJER;ALICANTE;67383900J;1/5/1949
67;69.3;153.0;MUJER;ALICANTE;18510214Z;21/1/1953
69;66.6;153.0;MUJER;ALICANTE;62273207G;13/8/1951
68;68.0;150.0;MUJER;ALICANTE;57677878A;7/5/1952
71;65.7;143.2;MUJER;ALICANTE;30320639H;13/3/1949
65;168.8;149.0;MUJER;ALICANTE;38008152O;9/7/1955
22;71.6;167.0;HOMBRE;CASTELLÓN;41529806P;6/3/1998
18;99.6;172.6;HOMBRE;CASTELLÓN;85249852L;12/9/2002
18;65.0;171.1;HOMBRE;CASTELLÓN;66868536D;30/7/2002
15;50.0;170.4;HOMBRE;CASTELLÓN;63218041B;26/1/2005
18;61.3;169.5;HOMBRE;CASTELLÓN;25811204Y;10/12/2002
